x,y,z,type
-2.4846,-8.3684,-2.5407,point
9.3268,9.9609,-5.0309,point
7.9127,10.0631,2.2159,point
6.3086,2.7523,3.226,point
-7.0311,7.6408,4.8424,point
-2.1736,-2.9365,8.1962,point
6.9281,8.8314,3.1247,point
-4.2163,-1.9907,8.1754,point
-1.842,-11.5116,-1.5689,point
-2.4569,-1.5545,6.841,point
-6.4112,3.87,-3.8616,point
5.5341,-3.4176,-5.3485,point
3.1269,3.1296,-4.8951,point
4.1213,-2.0692,-3.8813,point
4.1864,-3.0005,-3.8682,point
-7.4303,7.4633,4.2948,point
-8.2637,-3.8102,1.3546,point
1.2036,-9.4828,5.0452,point
-2.4325,-10.2685,0.8642,point
0.2558,-11.3869,5.7524,point
7.1884,7.5167,-10.2171,point
9.1687,8.8255,2.9218,point
8.4093,8.759,-6.4248,point
-0.7002,-10.8522,5.5815,point
6.97,2.9513,4.2345,point
-6.1934,4.3187,0.3098,point
6.4756,9.041,-11.0712,point
9.3263,7.9292,2.7997,point
9.7138,9.0438,-7.8093,point
9.0298,9.8366,-5.1127,point
-0.4219,0.0544,8.3048,point
-6.781,8.0646,4.7178,point
-9.2114,-3.8254,2.9822,point
9.2197,9.1521,2.2213,point
0.825,-10.0787,3.2852,point
-7.6667,6.8958,-0.6109,point
8.3141,3.7656,3.3308,point
0.7175,-9.2097,5.7626,point
-7.0019,5.5886,-0.5709,point
-2.5735,-10.4809,5.0151,point
8.4826,8.1894,1.6207,point
7.4635,9.5625,2.0314,point
6.1739,-5.5737,-2.8832,point
-3.6615,-2.4227,6.6234,point
-7.5038,8.9903,8.5191,point
-6.9876,8.6982,-1.4246,point
-1.2105,-10.2215,7.2917,point
1.4188,-11.2641,5.1209,point
5.2,2.7382,4.539,point
4.1949,-3.3408,-3.8862,point
7.0124,3.4424,4.3357,point
-6.1769,5.7973,-1.5188,point
-10.0385,-3.4754,-0.1859,point
-4.8098,8.3373,6.7193,point
-2.8045,-9.4919,-1.2071,point
-5.8824,5.0876,-1.926,point
5.9349,8.4049,2.1504,point
8.7418,10.8621,-6.5248,point
8.9965,10.6169,-6.1259,point
-8.0958,-4.189,1.7005,point
9.7801,7.6937,-5.5072,point
-1.6591,-0.8796,6.5934,point
3.5876,3.4431,-3.3129,point
-7.3588,3.4313,-0.9596,point
10.3803,10.6749,-6.0861,point
-8.6485,-2.9424,0.904,point
5.981,9.7645,2.5833,point
7.7324,8.2608,-6.3124,point
4.3424,-5.5547,-3.8262,point
4.9568,1.1898,3.1538,point
6.083,4.524,3.8113,point
4.4774,2.9881,-2.2713,point
1.5863,-8.77,6.0902,point
1.8432,0.9765,-3.1403,point
-0.3776,-9.1585,0.085,point
8.8145,11.1775,-4.734,point
-3.4544,-2.945,8.5568,point
4.1739,2.6729,1.5569,point
8.8077,9.0985,-5.0942,point
4.6625,7.0476,-9.1473,point
3.3022,5.0314,-3.1402,point
-1.0299,-9.4694,-2.2016,point
-2.2762,-9.7923,-1.9091,point
5.8372,2.1173,-3.6553,point
5.9953,7.3094,3.5696,point
8.8976,9.1442,-6.1992,point
-6.3854,7.2841,-1.6247,point
3.0962,-3.8023,-5.2606,point
-3.1126,-2.2439,6.8521,point
